Symbol,Company Name, Lead Market Maker
A,"AGILENT TECH INC","WOLVERINE TRADING, LLC"
AA,"ALCOA INC","WOLVERINE TRADING, LLC"
AAL,"AMERICAN AIRLINES GP","WOLVERINE TRADING, LLC"
AAN,"AARON'S INC","CITADEL SECURITIES LLC"
AAP,"ADVANCE AUTO PARTS","TIMBER HILL LLC"
AAPL,"APPLE INC.","CITADEL SECURITIES LLC"
AAV,"ADVANTAGE OIL & GAS","SUSQUEHANNA SECURITIES"
AAVL,"AVALANCHE BIOT CM ST","*** No LMM ***"
AAWW,"ATLAS AIR WW","*** No LMM ***"
AB,"ALLIANCEBERNSTEIN","WOLVERINE TRADING, LLC"
ABB,"ABB LTD","CITADEL SECURITIES LLC"
ABBV,"Abbvie Inc.","TIMBER HILL LLC"
ABC,"AMERISOURCEBERGEN CP","SUSQUEHANNA SECURITIES"
ABEV,"Ambev S.A.","CITADEL SECURITIES LLC"
ABMD,"ABIOMED INC","*** No LMM ***"
ABT,"ABBOTT LABORATORIES","TIMBER HILL LLC"
ABUS,"ARBUTUS BIOPHARMA CP","CITADEL SECURITIES LLC"
ABX,"BARRICK GOLD CP","WOLVERINE TRADING, LLC"
ABY,"ABENGOA YIELD ORD","*** No LMM ***"
ACAD,"ACADIA PHARMACEUTICA","MORGAN STANLEY & CO. LLC"
ACAS,"AMER CAPITAL LTD","WOLVERINE TRADING, LLC"
ACHC,"ACADIA HEALTHCR CO","CITADEL SECURITIES LLC"
ACHN,"ACHILLION PHARMACEUT","CITADEL SECURITIES LLC"
ACM,"AECOM","CITADEL SECURITIES LLC"
ACN,"ACCENTURE PLC","GOLDMAN, SACHS & CO."
ACOR,"ACORDA THERAPEUTICS","*** No LMM ***"
ACRX,"ACELRX PHARMACEUTICA","MORGAN STANLEY & CO. LLC"
ACTG,"ACACIA RES-ACACIA","MORGAN STANLEY & CO. LLC"
ADBE,"ADOBE SYSTEMS INC","SUSQUEHANNA SECURITIES"
ADHD,"ALCOBRA LTD. ORD","SUSQUEHANNA SECURITIES"
ADI,"ANALOG DEVICES CMN","GOLDMAN, SACHS & CO."
ADK,"ADCARE HEALTH SYSTEM","*** No LMM ***"
ADM,"ARCHER DANIELS MDLND","WOLVERINE TRADING, LLC"
ADP,"AUTOMATIC DATA PROCS","GOLDMAN, SACHS & CO."
ADS,"ALLIANCE DATA SYS CP","SUSQUEHANNA SECURITIES"
ADSK,"AUTODESK INC","SUSQUEHANNA SECURITIES"
ADT,"ADT CORPORATION","*** No LMM ***"
ADTN,"ADTRAN INC","CITADEL SECURITIES LLC"
ADXS,"ADVAXIS INC CMN STK","*** No LMM ***"
AEE,"AMEREN CP","*** No LMM ***"
AEGR,"AEGERION PHARMA INC","CITADEL SECURITIES LLC"
AEM,"AGNICO EAGLE MINES","WOLVERINE TRADING, LLC"
AEO,"AMER EAGLE OUTFITTER","WOLVERINE TRADING, LLC"
AEP,"AMER ELECTRIC POW CO","WOLVERINE TRADING, LLC"
AER,"AERCAP HOLDINGS N.V.","WOLVERINE TRADING, LLC"
AERI,"AERIE PHARMACEUTICAL","*** No LMM ***"
AES,"THE AES CORPORATION","SUSQUEHANNA SECURITIES"
AET,"AETNA INC. NEW","SUSQUEHANNA SECURITIES"
AFFX,"AFFYMETRIX, INC.","CITADEL SECURITIES LLC"
AFL,"A F L A C INC","SUSQUEHANNA SECURITIES"
AFOP,"ALLIANCE FIBER OPTIC","MORGAN STANLEY & CO. LLC"
AFSI,"AMTRUST FINANCIAL","WOLVERINE TRADING, LLC"
AG,"FIRST MAJESTIC SILVE","WOLVERINE TRADING, LLC"
AGCO,"AGCO CP","WOLVERINE TRADING, LLC"
AGEN,"AGENUS INC.","*** No LMM ***"
AGIO,"AGIOS PHARMACEUTICAL","*** No LMM ***"
AGN,"ALLERGAN PLC","*** No LMM ***"
AGNC,"AMERICAN CAPITAL AGE","WOLVERINE TRADING, LLC"
AGO,"ASSURED GUARANTY LTD","WOLVERINE TRADING, LLC"
AGQ,"PROSHARES","SUSQUEHANNA SECURITIES"
AGU,"AGRIUM INC.","GOLDMAN, SACHS & CO."
AHGP,"ALLIANCE HOLDINGS GP","*** No LMM ***"
AI,"ARLINGTON ASSET CL A","*** No LMM ***"
AIG,"AMER INTL GROUP NEW","WOLVERINE TRADING, LLC"
AINV,"APOLLO INVESTMENT CO","WOLVERINE TRADING, LLC"
AIR,"A A R CP","*** No LMM ***"
AIRM,"AIR METHODS CP","SUSQUEHANNA SECURITIES"
AJRD,"AEROJET ROCKETDYNE","MORGAN STANLEY & CO. LLC"
AKAM,"AKAMAI TECHNOLOGIES","SUSQUEHANNA SECURITIES"
AKRX,"AKORN INC","*** No LMM ***"
AKS,"A K STEEL HLDG CORP","SUSQUEHANNA SECURITIES"
AL,"AIR LEASING CORP","CITADEL SECURITIES LLC"
ALB,"ALBEMARLE CP","*** No LMM ***"
ALDW,"ALON USA PARTNERS LP","*** No LMM ***"
ALGN,"ALIGN TECHNOLOGY I","GOLDMAN, SACHS & CO."
ALGT,"ALLEGIANT TRAVEL COM","*** No LMM ***"
ALIM,"ALIMERA SCIENCES INC","CITADEL SECURITIES LLC"
ALK,"ALASKA AIR GROUP INC","MORGAN STANLEY & CO. LLC"
ALKS,"ALKERMES PLC","SUSQUEHANNA SECURITIES"
ALL,"ALLSTATE CP","TIMBER HILL LLC"
