,,,PHLX LISTED OPTIONS,,

,,,As of 03/22/2016,,

Number of Issues - ,3763,,
,,Option,Stock,,Primary,Single,Primary,Secondary
Company,Cycle,Symbol,Symbol,Specialist Unit,Market,Listed,Issue,Issue(s)
"1-800-FLOWERS.COM",JAN,FLWS,FLWS,"Wolverine Trading, LLC","NASDAQ","N",FLWS,
"1ST TR DOW J ITNT FD",JAN,FDN,FDN,"Citadel Securities LLC","NYSE ARCA","N",FDN,
"1ST TR NYSE BIO IDX",FEB,FBT,FBT,"Citadel Securities LLC","NYSE ARCA","N",FBT,
"21ST CENTRY FOX A CM",JAN,FOXA,FOXA,"Citadel Securities LLC","NASDAQ","N",FOXA,
"21ST CENTRY FOX B CM",JAN,FOX,FOX,"Citadel Securities LLC","NASDAQ","N",FOX,
"21VIANET GROUP, INC.",MAR,VNET,VNET,"Citadel Securities LLC","NASDAQ","N",VNET,
"22ND CENTURY GRP",JAN,XXII,XXII,"Citadel Securities LLC","NYSE MKT","N",XXII,
"2U, INC. CMN STK",JAN,TWOU,TWOU,"Wolverine Trading, LLC","NASDAQ","N",TWOU,
"3 D  SYSTEMS CP",FEB,DDD,DDD,"Susquehanna Securities","NYSE","N",DDD,
"3M COMPANY",JAN,MMM,MMM,"Timber Hill LLC","NYSE","N",MMM,
"500.COM LTD.",MAR,WBAI,WBAI,"Citadel Securities LLC","NYSE","N",WBAI,
"51JOB, INC.",JAN,JOBS,JOBS,"Citadel Securities LLC","NASDAQ","N",JOBS,
"58.COM INC",JAN,WUBA,WUBA,"Susquehanna Securities","NYSE","N",WUBA,
"8X8 INC",FEB,EGHT,EGHT,"Citadel Securities LLC","NASDAQ","N",EGHT,
"A A R CP",FEB,AIR,AIR,"Susquehanna Securities","NYSE","N",AIR,
"A B M INDUSTRIES INC",JAN,ABM,ABM,"Susquehanna Securities","NYSE","N",ABM,
"A F L A C INC",FEB,AFL,AFL,"Timber Hill LLC","NYSE","N",AFL,
"A K STEEL HLDG CORP",MAR,AKS,AKS,"Citadel Securities LLC","NYSE","N",AKS,
"A M E R C  O",JAN,UHAL,UHAL,"Susquehanna Securities","NASDAQ","N",UHAL,
"A S A GOLD A & PRECS",FEB,ASA,ASA,"Susquehanna Securities","NYSE","N",ASA,
"A V X CORP",MAR,AVX,AVX,"Susquehanna Securities","NYSE","N",AVX,
"A10 NETWORKS, INC.",FEB,ATEN,ATEN,"Susquehanna Securities","NYSE","N",ATEN,
"AAON INC",JAN,AAON,AAON,"Wolverine Trading, LLC","NASDAQ","N",AAON,
"AARON'S INC",FEB,AAN,AAN,"Susquehanna Securities","NYSE","N",AAN,
"ABAXIS INC",FEB,ABAX,ABAX,"Citadel Securities LLC","NASDAQ","N",ABAX,
"ABB LTD",MAR,ABB,ABB,"Susquehanna Securities","NYSE","N",ABB,
"ABBOTT LABORATORIES",FEB,ABT,ABT,"Citigroup Derivatives Markets Inc.","NYSE","N",ABT,
"ABBVIE INC.",FEB,ABBV,ABBV,"Susquehanna Securities","NYSE","N",ABBV,
"ABENGOA YIELD ORD",FEB,ABY,ABY,"Citadel Securities LLC","NASDAQ","N",ABY,
"ABERCROMBIE & FITCH",FEB,ANF,ANF,"Citigroup Derivatives Markets Inc.","NYSE","N",ANF,
"ABIOMED INC",MAR,ABMD,ABMD,"Citadel Securities LLC","NASDAQ","N",ABMD,
"ABRAXAS PETRO CORP",MAR,AXAS,AXAS,"Citadel Securities LLC","NASDAQ","N",AXAS,
"ACACIA RES-ACACIA",FEB,ACTG,ACTG,"Susquehanna Securities","NASDAQ","N",ACTG,
"ACADIA HEALTHCR CO",MAR,ACHC,ACHC,"Susquehanna Securities","NASDAQ","N",ACHC,
"ACADIA PHARMACEUTICA",MAR,ACAD,ACAD,"Susquehanna Securities","NASDAQ","N",ACAD,
"ACADIA RLTY TR",MAR,AKR,AKR,"Wolverine Trading, LLC","NYSE","N",AKR,
"ACCELERATE DIAGNOSTI",FEB,AXDX,AXDX,"Wolverine Trading, LLC","NASDAQ","N",AXDX,
"ACCELERON PHARMA CMN",FEB,XLRN,XLRN,"Citadel Securities LLC","NASDAQ","N",XLRN,
"ACCENTURE PLC",FEB,ACN,ACN,"Citigroup Derivatives Markets Inc.","NYSE","N",ACN,
"ACCO BRANDS CORP",MAR,ACCO,ACCO,"Susquehanna Securities","NYSE","N",ACCO,
"ACCURAY INCORPORATED",MAR,ARAY,ARAY,"Citadel Securities LLC","NASDAQ","N",ARAY,
"ACCURIDE CORP",JAN,ACW,ACW,"Citadel Securities LLC","NYSE","N",ACW,
"ACELRX PHARMACEUTICA",MAR,ACRX,ACRX,"Group One Trading, L.P.","NASDAQ","N",ACRX,
"ACETO CP",FEB,ACET,ACET,"Susquehanna Securities","NASDAQ","N",ACET,
"ACHILLION PHARMACEUT",MAR,ACHN,ACHN,"Group One Trading, L.P.","NASDAQ","N",ACHN,
"ACI WORLDWIDE, INC.",FEB,ACIW,ACIW,"Susquehanna Securities","NASDAQ","N",ACIW,
"ACORDA THERAPEUTICS",JAN,ACOR,ACOR,"Citadel Securities LLC","NASDAQ","N",ACOR,
"ACTIVISION BLIZZARD",FEB,ATVI,ATVI,"Citadel Securities LLC","NASDAQ","N",ATVI,
"ACTUA CORP CMN",MAR,ACTA,ACTA,"Wolverine Trading, LLC","NASDAQ","N",ACTA,
"ACTUANT CORP NEW",FEB,ATU,ATU,"Citadel Securities LLC","NYSE","N",ATU,
"ACUITY BRANDS INC",FEB,AYI,AYI,"Citadel Securities LLC","NYSE","N",AYI,
"ACURA PHARMA CMN",JAN,ACUR,ACUR,"Susquehanna Securities","NASDAQ","N",ACUR,
"ACXIOM CP",FEB,ACXM,ACXM,"Susquehanna Securities","NASDAQ","N",ACXM,
"ADAMIS PHARMACEUTICL",MAR,ADMP,ADMP,"Susquehanna Securities","NASDAQ","N",ADMP,
